"","alg","tune","var","lag","val","sd"
"292","MHS","tuned","x5",70,0.574908056102935,0.0971255151775077
"293","HMC","~tuned","x6",70,-0.00641273281746555,0.0223750874921892
"294","MHS","~tuned","x6",70,0.379029712147752,0.0490812416132479
"295","HMC","tuned","x6",70,0.0100031747788216,0.0566594144921613
"296","MHS","tuned","x6",70,0.644492520599932,0.150052596088963
"297","HMC","~tuned","x7",70,-0.00365675977262601,0.0267866534306031
"298","MHS","~tuned","x7",70,0.263267896216391,0.266425318617787
"299","HMC","tuned","x7",70,0.00304485988349181,0.172575189489868
"300","MHS","tuned","x7",70,0.505155309495282,0.0719007323510531
"301","HMC","~tuned","x8",70,-0.00339048409353659,0.0230212837766667
"302","MHS","~tuned","x8",70,0.486323957541189,0.147927450910674
"303","HMC","tuned","x8",70,6.50591636475438e-05,0.289196296308923
"304","MHS","tuned","x8",70,0.503499319897075,0.278398852631114
"305","HMC","~tuned","x9",70,-0.0115920100136217,0.0297807785374657
"306","MHS","~tuned","x9",70,0.226202944714379,0.143088758703685
"307","HMC","tuned","x9",70,0.00444517286988709,0.211345890239706
"308","MHS","tuned","x9",70,0.400139763758728,0.182890716579454
"309","HMC","~tuned","x1",80,0.000790232548748582,0.0226111770035063
"310","MHS","~tuned","x1",80,0.474281753018845,0.126993553354536
"311","HMC","tuned","x1",80,0.00619781955045164,0.0214282458276746
"312","MHS","tuned","x1",80,0.365096999990639,0.249465932124624
"313","HMC","~tuned","x10",80,0.0052880618643797,0.0257114848224037
"314","MHS","~tuned","x10",80,0.287655492603391,0.214861798898082
"315","HMC","tuned","x10",80,0.00532390263850656,0.338124800655848
"316","MHS","tuned","x10",80,0.460545293692245,0.137321880492754
"317","HMC","~tuned","x11",80,0.00976040272374823,0.0380572391953515
"318","MHS","~tuned","x11",80,0.307064083998604,0.131730070614127
"319","HMC","tuned","x11",80,0.00570579696025063,0.0850034311811776
"320","MHS","tuned","x11",80,0.42378148907285,0.175007290195864
"321","HMC","~tuned","x2",80,-0.0116939741998461,0.020850952884756
"322","MHS","~tuned","x2",80,0.38163299128554,0.148982151335265
"323","HMC","tuned","x2",80,0.00882074884735842,0.0450823418697109
"324","MHS","tuned","x2",80,0.296031597837925,0.338190635343742
"325","HMC","~tuned","x3",80,-0.000371307560815635,0.0262967683469531
"326","MHS","~tuned","x3",80,0.434046533362739,0.11058872965528
"327","HMC","tuned","x3",80,0.00539636196670833,0.372003560438411
"328","MHS","tuned","x3",80,0.496368377239956,0.140264092586349
"329","HMC","~tuned","x4",80,-0.00845076556428947,0.0288383998094497
"330","MHS","~tuned","x4",80,0.343750199967911,0.20144072689159
"331","HMC","tuned","x4",80,0.00831344224609313,0.14738310702882
"332","MHS","tuned","x4",80,0.401643639018583,0.111008402970137
"333","HMC","~tuned","x5",80,0.00242261273518357,0.0366365168910139
"334","MHS","~tuned","x5",80,0.399732243327406,0.186990418096461
"335","HMC","tuned","x5",80,-0.00482848507014526,0.18860568089881
"336","MHS","tuned","x5",80,0.532396715067893,0.0996188535135477
"337","HMC","~tuned","x6",80,-0.00683625593530202,0.0290093381321249
"338","MHS","~tuned","x6",80,0.319590522021324,0.0389291015607009
"339","HMC","tuned","x6",80,0.00879768702289912,0.0547633024413257
"340","MHS","tuned","x6",80,0.609120586867596,0.141458225778388
"341","HMC","~tuned","x7",80,-0.00824502036149518,0.0286591491419185
"342","MHS","~tuned","x7",80,0.227888505723534,0.258813347526519
"343","HMC","tuned","x7",80,0.0065962525218477,0.169490441408143
"344","MHS","tuned","x7",80,0.451350573729947,0.0827731210024581
"345","HMC","~tuned","x8",80,0.00489181740662594,0.0291799584550884
"346","MHS","~tuned","x8",80,0.424390246099857,0.161039824955999
"347","HMC","tuned","x8",80,0.00182748545273785,0.28323958502722
"348","MHS","tuned","x8",80,0.459151705699159,0.267102498796742
"349","HMC","~tuned","x9",80,-0.00174232682263867,0.0282225341551021
"350","MHS","~tuned","x9",80,0.176850448496514,0.144950081874196
"351","HMC","tuned","x9",80,0.00274091177994325,0.205193737047704
"352","MHS","tuned","x9",80,0.344789047329482,0.179854809994874
"353","HMC","~tuned","x1",90,0.000441807986077196,0.0212130363919032
"354","MHS","~tuned","x1",90,0.425144138977052,0.141469490377326
"355","HMC","tuned","x1",90,0.00177604712001669,0.0210922646246004
"356","MHS","tuned","x1",90,0.332678457888052,0.260127207269187
"357","HMC","~tuned","x10",90,-0.00528690037897794,0.0234796457423683
"358","MHS","~tuned","x10",90,0.255369624251983,0.201780651247336
"359","HMC","tuned","x10",90,0.00135456874129962,0.327944750746076
"360","MHS","tuned","x10",90,0.405871218553719,0.155608830650463
"361","HMC","~tuned","x11",90,0.0294041420050068,0.0258058453396504
"362","MHS","~tuned","x11",90,0.259480703030571,0.114385619013548
"363","HMC","tuned","x11",90,0.00603714270065683,0.0854737349280013
"364","MHS","tuned","x11",90,0.371790537427061,0.193442920923074
"365","HMC","~tuned","x2",90,-0.0048071202700958,0.0244859938846686
"366","MHS","~tuned","x2",90,0.350001703909103,0.153328339190563
"367","HMC","tuned","x2",90,0.00709261796128354,0.0410390297428793
"368","MHS","tuned","x2",90,0.255358497846106,0.33160145744816
"369","HMC","~tuned","x3",90,-0.00403501286893552,0.0218772028525132
"370","MHS","~tuned","x3",90,0.376337113372087,0.117582298891194
"371","HMC","tuned","x3",90,0.00256080680751308,0.360672350730368
"372","MHS","tuned","x3",90,0.462225415822484,0.130858919403587
"373","HMC","~tuned","x4",90,-0.00462549814939036,0.0301123981264114
"374","MHS","~tuned","x4",90,0.310532622122076,0.179824364752438
"375","HMC","tuned","x4",90,0.0065717715264463,0.151099240919109
"376","MHS","tuned","x4",90,0.366205770070575,0.11560389239927
"377","HMC","~tuned","x5",90,0.00767642540559425,0.0516644489991898
"378","MHS","~tuned","x5",90,0.344190913432591,0.201709050718091
"379","HMC","tuned","x5",90,0.000998396286646092,0.188365271107311
"380","MHS","tuned","x5",90,0.491788663715148,0.104693241399668
"381","HMC","~tuned","x6",90,-0.0042092525197896,0.0227749615601341
"382","MHS","~tuned","x6",90,0.270688502757572,0.0375286261284848
"383","HMC","tuned","x6",90,0.0046230550308088,0.0589381555592842
"384","MHS","tuned","x6",90,0.575964044859639,0.136213694983221
"385","HMC","~tuned","x7",90,-0.007302514378427,0.0270612684264573
"386","MHS","~tuned","x7",90,0.209578980190787,0.236264696670276
